id,target
250,0.528
251,0.798
252,0.47
253,0.842
254,0.518
255,0.51
256,0.398
257,0.562
258,0.936
259,0.544
260,0.634
261,0.516
262,0.578
263,0.608
264,0.546
265,0.928
266,0.456
267,0.838
268,0.202
269,0.232
270,0.56
271,0.738
272,0.598
273,0.35
274,0.492
275,0.556
276,0.374
277,0.95
278,0.708
279,0.782
280,0.592
281,0.396
282,0.61
283,0.372
284,0.868
285,0.432
286,0.716
287,0.652
288,0.866
289,0.628
290,0.694
291,0.506
292,0.892
293,0.854
294,0.48
295,0.804
296,0.886
297,0.716
298,0.756
299,0.4
300,0.566
301,0.63
302,0.764
303,0.962
304,0.512
305,0.794
306,0.858
307,0.952
308,0.956
309,0.486
310,0.83
311,0.708
312,0.778
313,0.612
314,0.242
315,0.274
316,0.922
317,0.652
318,0.366
319,0.974
320,0.882
321,0.67
322,0.552
323,0.866
324,0.658
325,0.38
326,0.428
327,0.444
328,0.596
329,0.792
330,0.276
331,0.476
332,0.304
333,0.324
334,0.85
335,0.796
336,0.688
337,0.588
338,0.61
339,0.226
340,0.87
341,0.482
342,0.786
343,0.902
344,0.796
345,0.716
346,0.7
347,0.462
348,0.906
349,0.858
350,0.824
351,0.628
352,0.612
353,0.466
354,0.556
355,0.872
356,0.23
357,0.538
358,0.596
359,0.848
360,0.898
361,0.802
362,0.418
363,0.89
364,0.466
365,0.36
366,0.316
367,0.59
368,0.402
369,0.902
370,0.706
371,0.442
372,0.504
373,0.494
374,0.83
375,0.99
376,0.49
377,0.48
378,0.852
379,0.356
380,0.556
381,0.638
382,0.792
383,0.708
384,0.528
385,0.662
386,0.88
387,0.68
388,0.288
389,0.466
390,0.898
391,0.432
392,0.606
393,0.55
394,0.472
395,0.834
396,0.308
397,0.322
398,0.898
399,0.926
400,0.854
401,0.49
402,0.442
403,0.63
404,0.408
405,0.956
406,0.418
407,0.372
408,0.506
409,0.85
410,0.878
411,0.602
412,0.644
413,0.854
414,0.848
415,0.926
416,0.352
417,0.566
418,0.59
419,0.87
420,0.904
421,0.3
422,0.568
423,0.824
424,0.478
425,0.608
426,0.522
427,0.54
428,0.962
429,0.23
430,0.864
431,0.412
432,0.972
433,0.742
434,0.74
435,0.176
436,0.69
437,0.39
438,0.962
439,0.706
440,0.548
441,0.412
442,0.822
443,0.794
444,0.664
445,0.198
446,0.836
447,0.22
448,0.516
449,0.754
450,0.202
451,0.836
452,0.508
453,0.384
454,0.572
455,0.65
456,0.716
457,0.324
458,0.74
459,0.87
460,0.882
461,0.666
462,0.414
463,0.266
464,0.798
465,0.904
466,0.534
467,0.816
468,0.854
469,0.238
470,0.562
471,0.33
472,0.548
473,0.87
474,0.78
475,0.568
476,0.684
477,0.836
478,0.914
479,0.864
480,0.804
481,0.302
482,0.838
483,0.396
484,0.572
485,0.488
486,0.842
487,0.704
488,0.58
489,0.868
490,0.39
491,0.468
492,0.352
493,0.842
494,0.962
495,0.446
496,0.872
497,0.35
498,0.562
499,0.796
500,0.924
501,0.822
502,0.806
503,0.84
504,0.808
505,0.962
506,0.52
507,0.232
508,0.718
509,0.774
510,0.76
511,0.71
512,0.726
513,0.466
514,0.73
515,0.776
516,0.624
517,0.46
518,0.83
519,0.918
520,0.46
521,0.708
522,0.922
523,0.556
524,0.62
525,0.722
526,0.642
527,0.592
528,0.714
529,0.79
530,0.704
531,0.948
532,0.846
533,0.5
534,0.818
535,0.87
536,0.518
537,0.494
538,0.278
539,0.754
540,0.65
541,0.414
542,0.69
543,0.78
544,0.75
545,0.644
546,0.722
547,0.538
548,0.94
549,0.41
550,0.962
551,0.878
552,0.702
553,0.796
554,0.29
555,0.56
556,0.888
557,0.848
558,0.352
559,0.832
560,0.502
561,0.41
562,0.736
563,0.804
564,0.598
565,0.912
566,0.482
567,0.61
568,0.57
569,0.54
570,0.728
571,0.8
572,0.632
573,0.738
574,0.444
575,0.716
576,0.254
577,0.66
578,0.758
579,0.768
580,0.808
581,0.832
582,0.938
583,0.492
584,0.796
585,0.358
586,0.768
587,0.662
588,0.424
589,0.522
590,0.938
591,0.828
592,0.806
